,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
6704,2012-02-11 00:00:00,Furman,Western Carolina Catamounts,Timmons Arena,80,66,Furman,Western Carolina Catamounts,REG,Timmons Arena,,,,,,,,,,,,
4403,2012-03-13 00:00:00,Georgia State,Tennessee Tech Golden Eagles,GSU Sports Arena,74,43,Georgia State,Tennessee Tech Golden Eagles,CIT,GSU Sports Arena,,,,,,,,,,,,
4985,2012-02-22 00:00:00,St. Joseph's Hawks,Richmond,Hagan Arena,49,52,Richmond,St. Joseph's Hawks,REG,Hagan Arena,,,,,,,,,,,,
7986,2011-11-23 00:00:00,Michigan Wolverines,UCLA,,79,63,Michigan Wolverines,UCLA,REG,,,,,,,,,,,,,
6804,2011-12-10 00:00:00,Temple,Villanova Wildcats,Liacouras Center,78,67,Temple,Villanova Wildcats,REG,Liacouras Center,,,,,,,,,,,,
6712,2012-01-21 00:00:00,Charleston Southern,Winthrop Eagles,CSU Fieldhouse,77,66,Charleston Southern,Winthrop Eagles,REG,CSU Fieldhouse,,,,,,,,,,,,
5230,2012-03-29 00:00:00,Minnesota Golden Gophers,Stanford,Madison Square Garden (IV),51,75,Stanford,Minnesota Golden Gophers,NIT,Madison Square Garden (IV),,,,,,,,,,,,
6721,2011-12-31 00:00:00,Indiana State,Bradley Braves,Hulman Center,77,66,Indiana State,Bradley Braves,REG,Hulman Center,,,,,,,,,,,,
6590,2012-01-10 00:00:00,Wichita State Shockers,Illinois State,Charles Koch Arena,65,62,Wichita State Shockers,Illinois State,REG,Charles Koch Arena,,,,,,,,,,,,
8411,2011-11-22 00:00:00,Fresno State,UTSA Roadrunners,Moby Arena,79,83,UTSA Roadrunners,Fresno State,REG,Moby Arena,,,,,,,,,,,,
4209,2012-01-13 00:00:00,Wichita State,Bradley Braves,Charles Koch Arena,78,41,Wichita State,Bradley Braves,REG,Charles Koch Arena,,,,,,,,,,,,
6819,2012-01-19 00:00:00,Troy Trojans,Florida Atlantic,Trojan Arena,67,88,Florida Atlantic,Troy Trojans,REG,Trojan Arena,,,,,,,,,,,,
4884,2012-03-08 00:00:00,Nevada-Las Vegas (20),Wyoming Cowboys,Thomas & Mack Center,56,48,Nevada-Las Vegas (20),Wyoming Cowboys,CTOURN,Thomas & Mack Center,,,,,,,,,,,,
6114,2012-01-07 00:00:00,Gonzaga (25),Santa Clara Broncos,McCarthey Athletic Center,82,60,Gonzaga (25),Santa Clara Broncos,REG,McCarthey Athletic Center,,,,,,,,,,,,
6019,2012-01-30 00:00:00,Stetson,Kennesaw State Owls,Edmunds Center,75,59,Stetson,Kennesaw State Owls,REG,Edmunds Center,,,,,,,,,,,,
4895,2012-02-18 00:00:00,Utah Utes,Colorado,Jon M. Huntsman Center,48,55,Colorado,Utah Utes,REG,Jon M. Huntsman Center,,,,,,,,,,,,
5589,2011-11-17 00:00:00,Michigan (17),Western Illinois Leathernecks,Crisler Arena,59,55,Michigan (17),Western Illinois Leathernecks,REG,Crisler Arena,,,,,,,,,,,,
4486,2012-03-10 00:00:00,Cincinnati Bearcats,Louisville,Madison Square Garden (IV),44,50,Louisville,Cincinnati Bearcats,CTOURN,Madison Square Garden (IV),,,,,,,,,,,,
