,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
5168,2011-12-01 00:00:00,Western Illinois,North Dakota State Bison,Western Hall,55,51,Western Illinois,North Dakota State Bison,REG,Western Hall,,,,,,,,,,,,
8492,2012-03-21 00:00:00,Stanford Cardinal,Nevada,Maples Pavilion,84,56,Stanford Cardinal,Nevada,NIT,Maples Pavilion,,,,,,,,,,,,
9267,2011-12-17 00:00:00,North Dakota State Bison,Mayville State,,92,50,North Dakota State Bison,Mayville State,REG,,,,,,,,,,,,,
9715,2011-12-28 00:00:00,North Dakota State Bison,Oakland,Bison Sports Arena,96,69,North Dakota State Bison,Oakland,REG,Bison Sports Arena,,,,,,,,,,,,
8516,2012-03-17 00:00:00,Oakland Golden Grizzlies,Buffalo,Athletics Center O'rena,84,76,Oakland Golden Grizzlies,Buffalo,CIT,Athletics Center O'rena,,,,,,,,,,,,
5584,2012-02-20 00:00:00,Alabama State,Southern Jaguars,ASU Acadome,53,55,Southern Jaguars,Alabama State,REG,ASU Acadome,,,,,,,,,,,,
8930,2011-12-23 00:00:00,IUPUI,Valparaiso Crusaders,The Jungle,97,88,IUPUI,Valparaiso Crusaders,REG,The Jungle,,,,,,,,,,,,
6735,2012-01-26 00:00:00,IPFW,North Dakota State Bison,Allen County War Memorial Coliseum,75,66,IPFW,North Dakota State Bison,REG,Allen County War Memorial Coliseum,,,,,,,,,,,,
7926,2012-01-28 00:00:00,Oakland,North Dakota State Bison,Athletics Center O'rena,75,78,North Dakota State Bison,Oakland,REG,Athletics Center O'rena,,,,,,,,,,,,
6915,2011-12-30 00:00:00,IUPUI,Western Illinois Leathernecks,The Jungle,75,68,IUPUI,Western Illinois Leathernecks,REG,The Jungle,,,,,,,,,,,,
8932,2011-11-23 00:00:00,North Dakota UND,Montana,Betty Engelstad Sioux Center,88,81,North Dakota UND,Montana,REG,Betty Engelstad Sioux Center,,,,,,,,,,,,
7258,2012-01-04 00:00:00,North Dakota UND,Mayville State,,72,54,North Dakota UND,Mayville State,REG,,,,,,,,,,,,,
8117,2011-12-17 00:00:00,Tulsa Golden Hurricane,Texas-Arlington,Donald W. Reynolds Center,80,75,Tulsa Golden Hurricane,Texas-Arlington,REG,Donald W. Reynolds Center,,,,,,,,,,,,
5889,2011-11-25 00:00:00,Missouri-Kansas City,Wofford Terriers,,64,58,Missouri-Kansas City,Wofford Terriers,REG,,,,,,,,,,,,,
6368,2012-03-03 00:00:00,Fairfield,Rider Broncs,,65,63,Fairfield,Rider Broncs,CTOURN,,,,,,,,,,,,,
4491,2011-11-11 00:00:00,Alabama (19),North Florida Ospreys,Coleman Coliseum,64,44,Alabama (19),North Florida Ospreys,REG,Coleman Coliseum,,,,,,,,,,,,
5122,2011-11-21 00:00:00,Ohio State (3),North Florida Ospreys,Value City Arena,85,50,Ohio State (3),North Florida Ospreys,REG,Value City Arena,,,,,,,,,,,,
8070,2011-12-03 00:00:00,North Florida Ospreys,Jacksonville,UNF Arena,80,58,North Florida Ospreys,Jacksonville,REG,UNF Arena,,,,,,,,,,,,
5619,2011-12-19 00:00:00,Virginia Tech,North Florida Ospreys,Cassell Coliseum,84,55,Virginia Tech,North Florida Ospreys,REG,Cassell Coliseum,,,,,,,,,,,,
9120,2011-11-16 00:00:00,Oklahoma State Cowboys,Texas-San Antonio,Gallagher-Iba Arena,90,85,Oklahoma State Cowboys,Texas-San Antonio,REG,Gallagher-Iba Arena,,,,,,,,,,,,
8274,2012-01-04 00:00:00,North Florida Ospreys,Lipscomb,UNF Arena,82,61,North Florida Ospreys,Lipscomb,REG,UNF Arena,,,,,,,,,,,,
8899,2012-01-14 00:00:00,Wofford Terriers,Georgia Southern,Benjamin Johnson Arena,88,63,Wofford Terriers,Georgia Southern,REG,Benjamin Johnson Arena,,,,,,,,,,,,
10009,2012-02-04 00:00:00,North Florida Ospreys,Stetson,UNF Arena,99,96,North Florida Ospreys,Stetson,REG,UNF Arena,,,,,,,,,,,,
5091,2012-01-07 00:00:00,Texas A&M Aggies,Iowa State,Reed Arena,50,74,Iowa State,Texas A&M Aggies,REG,Reed Arena,,,,,,,,,,,,
5307,2011-12-14 00:00:00,Northern Illinois Huskies,DePaul,Convocation Center,52,75,DePaul,Northern Illinois Huskies,REG,Convocation Center,,,,,,,,,,,,
6669,2011-11-27 00:00:00,Princeton Tigers,West Alabama,,66,42,Princeton Tigers,West Alabama,REG,,,,,,,,,,,,,
5820,2012-01-21 00:00:00,NJIT,Texas-Rio Grande Valley Vaqueros,Estelle and Zoom Fleisher Athletic Center,58,57,NJIT,Texas-Rio Grande Valley Vaqueros,REG,Estelle and Zoom Fleisher Athletic Center,,,,,,,,,,,,
9270,2011-12-02 00:00:00,La Sierra,North Texas Mean Green,Albert Gersten Pavilion,45,92,North Texas Mean Green,La Sierra,REG,Albert Gersten Pavilion,,,,,,,,,,,,
5369,2012-02-04 00:00:00,Southern Illinois Salukis,Evansville,The SIU Arena,53,52,Southern Illinois Salukis,Evansville,REG,The SIU Arena,,,,,,,,,,,,
8269,2011-12-20 00:00:00,North Texas Mean Green,Grambling,Super Pit,82,40,North Texas Mean Green,Grambling,REG,Super Pit,,,,,,,,,,,,
8488,2012-01-12 00:00:00,North Texas Mean Green,Western Kentucky,Super Pit,84,67,North Texas Mean Green,Western Kentucky,REG,Super Pit,,,,,,,,,,,,
6020,2012-01-28 00:00:00,Northern Illinois Huskies,Buffalo,Convocation Center,59,74,Buffalo,Northern Illinois Huskies,REG,Convocation Center,,,,,,,,,,,,
5763,2012-01-02 00:00:00,Towson,Northeastern Huskies,Towson Center,48,57,Northeastern Huskies,Towson,REG,Towson Center,,,,,,,,,,,,
5418,2011-12-17 00:00:00,Utah State,Seattle Redhawks,Dee Glen Smith Spectrum,78,53,Utah State,Seattle Redhawks,REG,Dee Glen Smith Spectrum,,,,,,,,,,,,
5821,2012-01-23 00:00:00,Old Dominion,Northeastern Huskies,Ted Constant Convocation Ctr.,69,57,Old Dominion,Northeastern Huskies,REG,Ted Constant Convocation Ctr.,,,,,,,,,,,,
5527,2012-02-11 00:00:00,William & Mary,Northeastern Huskies,Kaplan Arena at William and Mary Hall,79,54,William & Mary,Northeastern Huskies,REG,Kaplan Arena at William and Mary Hall,,,,,,,,,,,,
7327,2012-02-25 00:00:00,Old Dominion Monarchs,Drexel,Ted Constant Convocation Ctr.,72,73,Drexel,Old Dominion Monarchs,REG,Ted Constant Convocation Ctr.,,,,,,,,,,,,
5751,2012-03-02 00:00:00,Northeastern Huskies,William & Mary,,57,49,Northeastern Huskies,William & Mary,CTOURN,,,,,,,,,,,,,
10360,2011-11-18 00:00:00,Northern Arizona Lumberjacks,Arizona Christian,,103,42,Northern Arizona Lumberjacks,Arizona Christian,REG,,,,,,,,,,,,,
6230,2011-11-26 00:00:00,Loyola Marymount,Northern Arizona Lumberjacks,Albert Gersten Pavilion,81,61,Loyola Marymount,Northern Arizona Lumberjacks,REG,Albert Gersten Pavilion,,,,,,,,,,,,
3969,2011-12-03 00:00:00,Arizona,Northern Arizona Lumberjacks,McKale Center,53,39,Arizona,Northern Arizona Lumberjacks,REG,McKale Center,,,,,,,,,,,,
4070,2011-12-07 00:00:00,Northern Arizona Lumberjacks,Pepperdine,Walkup Skydome,40,49,Pepperdine,Northern Arizona Lumberjacks,REG,Walkup Skydome,,,,,,,,,,,,
6541,2011-12-31 00:00:00,Northern Colorado,Northern Arizona Lumberjacks,Butler Hancock Sports Pavilion,80,64,Northern Colorado,Northern Arizona Lumberjacks,REG,Butler Hancock Sports Pavilion,,,,,,,,,,,,
4417,2012-01-28 00:00:00,Sacramento State,Northern Arizona Lumberjacks,Hornets Nest,77,43,Sacramento State,Northern Arizona Lumberjacks,REG,Hornets Nest,,,,,,,,,,,,
7783,2012-01-22 00:00:00,Youngstown State Penguins,Green Bay,Beeghly Center,77,47,Youngstown State Penguins,Green Bay,REG,Beeghly Center,,,,,,,,,,,,
7944,2011-12-22 00:00:00,Northern Colorado Bears,Colorado State,Butler Hancock Sports Pavilion,78,92,Colorado State,Northern Colorado Bears,REG,Butler Hancock Sports Pavilion,,,,,,,,,,,,
6172,2012-03-01 00:00:00,Florida Gulf Coast,South Carolina Upstate Spartans,,71,61,Florida Gulf Coast,South Carolina Upstate Spartans,CTOURN,,,,,,,,,,,,,
7628,2012-01-12 00:00:00,Northern Colorado Bears,Portland State,Butler Hancock Sports Pavilion,75,86,Portland State,Northern Colorado Bears,REG,Butler Hancock Sports Pavilion,,,,,,,,,,,,
5922,2012-01-19 00:00:00,Montana,Northern Colorado Bears,Adams Center/Dahlberg Arena,76,58,Montana,Northern Colorado Bears,REG,Adams Center/Dahlberg Arena,,,,,,,,,,,,
7322,2011-12-29 00:00:00,Wake Forest Demon Deacons,Yale,Lawrence Joel Coliseum,72,71,Wake Forest Demon Deacons,Yale,REG,Lawrence Joel Coliseum,,,,,,,,,,,,
9535,2012-01-26 00:00:00,Idaho State,Northern Colorado Bears,Holt Arena,99,94,Idaho State,Northern Colorado Bears,REG,Holt Arena,,,,,,,,,,,,
7705,2012-02-18 00:00:00,Missouri-Kansas City,Wright State Raiders,Swinney Recreation Center,62,76,Wright State Raiders,Missouri-Kansas City,REG,Swinney Recreation Center,,,,,,,,,,,,
7241,2011-12-30 00:00:00,Houston,Texas State Bobcats,Hofheinz Pavilion,94,71,Houston,Texas State Bobcats,REG,Hofheinz Pavilion,,,,,,,,,,,,
3519,2011-11-11 00:00:00,Purdue,Northern Illinois Huskies,Mackey Arena,96,34,Purdue,Northern Illinois Huskies,REG,Mackey Arena,,,,,,,,,,,,
4072,2011-12-03 00:00:00,Minnesota,USC Trojans,Williams Arena,55,40,Minnesota,USC Trojans,REG,Williams Arena,,,,,,,,,,,,
4208,2012-01-18 00:00:00,Toledo,Northern Illinois Huskies,John F. Savage Hall,71,41,Toledo,Northern Illinois Huskies,REG,John F. Savage Hall,,,,,,,,,,,,
5753,2012-01-25 00:00:00,Kent State,Northern Illinois Huskies,Memorial Athletic & Convocation Center,90,56,Kent State,Northern Illinois Huskies,REG,Memorial Athletic & Convocation Center,,,,,,,,,,,,
4081,2012-02-04 00:00:00,Bowling Green State,Northern Illinois Huskies,Stroh Center,65,40,Bowling Green State,Northern Illinois Huskies,REG,Stroh Center,,,,,,,,,,,,
4588,2012-02-22 00:00:00,Eastern Michigan,Northern Illinois Huskies,Convocation Center,48,45,Eastern Michigan,Northern Illinois Huskies,REG,Convocation Center,,,,,,,,,,,,
4172,2011-11-15 00:00:00,Saint Mary's (CA),Northern Iowa Panthers,,57,41,Saint Mary's (CA),Northern Iowa Panthers,REG,,,,,,,,,,,,,
8480,2011-12-19 00:00:00,Northern Iowa Panthers,Loras,McLeod Center,84,48,Northern Iowa Panthers,Loras,REG,McLeod Center,,,,,,,,,,,,
6940,2012-02-17 00:00:00,Virginia Commonwealth,Northern Iowa Panthers,Alltel Pavilion at the Stuart C. Siegel Center,77,68,Virginia Commonwealth,Northern Iowa Panthers,REG,Alltel Pavilion at the Stuart C. Siegel Center,,,,,,,,,,,,
4256,2012-03-02 00:00:00,Illinois State,Northern Iowa Panthers,,54,42,Illinois State,Northern Iowa Panthers,CTOURN,,,,,,,,,,,,,
5704,2011-12-02 00:00:00,Missouri (13),Northwestern State Demons,Mizzou Arena,90,56,Missouri (13),Northwestern State Demons,REG,Mizzou Arena,,,,,,,,,,,,
9422,2011-12-06 00:00:00,Louisiana Tech,Northwestern State Demons,Thomas Assembly Center,94,93,Louisiana Tech,Northwestern State Demons,REG,Thomas Assembly Center,,,,,,,,,,,,
8572,2012-01-07 00:00:00,Texas-Arlington Mavericks,Nicholls State,Texas Hall,85,55,Texas-Arlington Mavericks,Nicholls State,REG,Texas Hall,,,,,,,,,,,,
9014,2012-01-07 00:00:00,Monmouth,Wagner Seahawks,Multipurpose Activity Center,79,89,Wagner Seahawks,Monmouth,REG,Multipurpose Activity Center,,,,,,,,,,,,
6432,2011-12-31 00:00:00,Oklahoma,Northwestern State Demons,Lloyd Noble Center,83,63,Oklahoma,Northwestern State Demons,REG,Lloyd Noble Center,,,,,,,,,,,,
8113,2011-11-17 00:00:00,Presbyterian,Western Carolina Catamounts,Ross E.Templeton Center,73,80,Western Carolina Catamounts,Presbyterian,REG,Ross E.Templeton Center,,,,,,,,,,,,
6316,2012-01-13 00:00:00,Valparaiso,Youngstown State Penguins,Athletics-Recreation Center,76,62,Valparaiso,Youngstown State Penguins,REG,Athletics-Recreation Center,,,,,,,,,,,,
8288,2011-12-03 00:00:00,Wofford Terriers,Citadel,Benjamin Johnson Arena,82,63,Wofford Terriers,Citadel,REG,Benjamin Johnson Arena,,,,,,,,,,,,
10120,2012-02-18 00:00:00,Northwestern State Demons,Campbell,Prather Coliseum,100,86,Northwestern State Demons,Campbell,REG,Prather Coliseum,,,,,,,,,,,,
3788,2012-02-22 00:00:00,Northwestern State Demons,Sam Houston State,Prather Coliseum,37,50,Sam Houston State,Northwestern State Demons,REG,Prather Coliseum,,,,,,,,,,,,
8182,2011-12-15 00:00:00,Northwestern Wildcats,Texas Southern,Welsh-Ryan Arena,81,51,Northwestern Wildcats,Texas Southern,REG,Welsh-Ryan Arena,,,,,,,,,,,,
8027,2011-11-26 00:00:00,NJIT,St. Francis (NY) Terriers,Estelle and Zoom Fleisher Athletic Center,60,79,St. Francis (NY) Terriers,NJIT,REG,Estelle and Zoom Fleisher Athletic Center,,,,,,,,,,,,
9423,2011-11-18 00:00:00,Notre Dame Fighting Irish,Delaware State,Purcell Pavilion at the Joyce Center,93,69,Notre Dame Fighting Irish,Delaware State,REG,Purcell Pavilion at the Joyce Center,,,,,,,,,,,,
8522,2011-11-27 00:00:00,Tennessee Tech Golden Eagles,Wilberforce,Eblen Center,84,83,Tennessee Tech Golden Eagles,Wilberforce,REG,Eblen Center,,,,,,,,,,,,
8822,2011-12-10 00:00:00,Utah Valley,Portland State Vikings,McKay Events Center,93,87,Utah Valley,Portland State Vikings,REG,McKay Events Center,,,,,,,,,,,,
8523,2012-01-28 00:00:00,Vanderbilt Commodores,Middle Tennessee,Memorial Gymnasium,84,77,Vanderbilt Commodores,Middle Tennessee,REG,Memorial Gymnasium,,,,,,,,,,,,
4200,2012-02-27 00:00:00,Georgetown (11),Notre Dame Fighting Irish,Verizon Center,59,41,Georgetown (11),Notre Dame Fighting Irish,REG,Verizon Center,,,,,,,,,,,,
5761,2012-03-08 00:00:00,Notre Dame Fighting Irish,South Florida,,57,53,Notre Dame Fighting Irish,South Florida,CTOURN,,,,,,,,,,,,,
5073,2012-02-15 00:00:00,Albany (NY),Vermont Catamounts,SEFCU Arena,47,50,Vermont Catamounts,Albany (NY),REG,SEFCU Arena,,,,,,,,,,,,
9032,2012-02-18 00:00:00,Long Island University,Quinnipiac Bobcats,Wellness Center,99,89,Long Island University,Quinnipiac Bobcats,REG,Wellness Center,,,,,,,,,,,,
10207,2011-12-01 00:00:00,Oakland Golden Grizzlies,South Dakota,Athletics Center O'rena,101,83,Oakland Golden Grizzlies,South Dakota,REG,Athletics Center O'rena,,,,,,,,,,,,
7737,2011-12-23 00:00:00,Oakland Golden Grizzlies,Western Michigan,Athletics Center O'rena,76,91,Western Michigan,Oakland Golden Grizzlies,REG,Athletics Center O'rena,,,,,,,,,,,,
7042,2011-12-28 00:00:00,North Dakota State,Oakland Golden Grizzlies,Bison Sports Arena,96,69,North Dakota State,Oakland Golden Grizzlies,REG,Bison Sports Arena,,,,,,,,,,,,
9411,2012-01-21 00:00:00,Santa Clara,Saint Mary's (CA) Gaels,Leavey Center,77,93,Saint Mary's (CA) Gaels,Santa Clara,REG,Leavey Center,,,,,,,,,,,,
9734,2012-01-14 00:00:00,IPFW,Oakland Golden Grizzlies,Allen County War Memorial Coliseum,86,96,Oakland Golden Grizzlies,IPFW,REG,Allen County War Memorial Coliseum,,,,,,,,,,,,
8726,2012-01-21 00:00:00,Oral Roberts,Oakland Golden Grizzlies,Mabee Center,93,86,Oral Roberts,Oakland Golden Grizzlies,REG,Mabee Center,,,,,,,,,,,,
9336,2012-01-26 00:00:00,Oakland Golden Grizzlies,South Dakota State,Athletics Center O'rena,92,87,Oakland Golden Grizzlies,South Dakota State,REG,Athletics Center O'rena,,,,,,,,,,,,
81153,2012-03-25 00:00:00,Utah State,Oakland Golden Grizzlies,Dee Glen Smith Spectrum,105,81,Utah State,Oakland Golden Grizzlies,CIT,Dee Glen Smith Spectrum,,,,,,,,,,,,
8575,2011-11-18 00:00:00,Ohio State Buckeyes,Jackson State,Value City Arena,85,41,Ohio State Buckeyes,Jackson State,REG,Value City Arena,,,,,,,,,,,,
10813,2011-11-23 00:00:00,Ohio State Buckeyes,Virginia Military Institute,Value City Arena,107,74,Ohio State Buckeyes,Virginia Military Institute,REG,Value City Arena,,,,,,,,,,,,
6454,2011-12-07 00:00:00,Texas A&M Aggies,Sam Houston State,Reed Arena,64,37,Texas A&M Aggies,Sam Houston State,REG,Reed Arena,,,,,,,,,,,,
6962,2011-12-22 00:00:00,Miami (OH),Ohio State Buckeyes,,40,69,Ohio State Buckeyes,Miami (OH),REG,,,,,,,,,,,,,
7159,2012-01-03 00:00:00,Ohio State Buckeyes,Nebraska,Value City Arena,71,40,Ohio State Buckeyes,Nebraska,REG,Value City Arena,,,,,,,,,,,,
7674,2012-01-07 00:00:00,Iowa,Ohio State Buckeyes,Carver-Hawkeye Arena,47,76,Ohio State Buckeyes,Iowa,REG,Carver-Hawkeye Arena,,,,,,,,,,,,
5867,2012-02-04 00:00:00,Wisconsin (19),Ohio State Buckeyes,Kohl Center,52,58,Ohio State Buckeyes,Wisconsin (19),REG,Kohl Center,,,,,,,,,,,,
8807,2012-02-07 00:00:00,Ohio State Buckeyes,Purdue,Value City Arena,87,84,Ohio State Buckeyes,Purdue,REG,Value City Arena,,,,,,,,,,,,
8880,2012-03-09 00:00:00,Ohio State Buckeyes,Purdue,,88,71,Ohio State Buckeyes,Purdue,CTOURN,,,,,,,,,,,,,
8886,2011-12-14 00:00:00,Ohio Bobcats,Marietta,Convocation Center,88,54,Ohio Bobcats,Marietta,REG,Convocation Center,,,,,,,,,,,,
8293,2012-01-03 00:00:00,Yale Bulldogs,Holy Cross,John J. Lee Ampitheater,82,67,Yale Bulldogs,Holy Cross,REG,John J. Lee Ampitheater,,,,,,,,,,,,
8911,2011-11-25 00:00:00,Washington Huskies,Houston Baptist,Bank of America Arena,88,65,Washington Huskies,Houston Baptist,REG,Bank of America Arena,,,,,,,,,,,,
8605,2012-02-26 00:00:00,Ohio Bobcats,Akron,Convocation Center,85,61,Ohio Bobcats,Akron,REG,Convocation Center,,,,,,,,,,,,
6235,2012-02-29 00:00:00,Kent State,Ohio Bobcats,Memorial Athletic & Convocation Center,68,61,Kent State,Ohio Bobcats,REG,Memorial Athletic & Convocation Center,,,,,,,,,,,,
6369,2012-03-05 00:00:00,South Dakota State Jackrabbits,Southern Utah,Sioux Falls Arena,63,47,South Dakota State Jackrabbits,Southern Utah,CTOURN,Sioux Falls Arena,,,,,,,,,,,,
4983,2011-11-14 00:00:00,Western Kentucky,Tennessee State Tigers,E.A. Diddle Arena,52,49,Western Kentucky,Tennessee State Tigers,REG,E.A. Diddle Arena,,,,,,,,,,,,
65134,2012-01-14 00:00:00,Baylor (4),Oklahoma State Cowboys,Ferrell Center,106,65,Baylor (4),Oklahoma State Cowboys,REG,Ferrell Center,,,,,,,,,,,,
5897,2011-12-11 00:00:00,Vermont Catamounts,Quinnipiac,Roy L. Patrick Gymnasium,58,62,Quinnipiac,Vermont Catamounts,REG,Roy L. Patrick Gymnasium,,,,,,,,,,,,
7667,2012-03-07 00:00:00,Oklahoma State Cowboys,Texas Tech,,76,60,Oklahoma State Cowboys,Texas Tech,CTOURN,,,,,,,,,,,,,
6435,2011-11-27 00:00:00,Oklahoma Sooners,Saint Louis,Anaheim Convention Center,63,83,Saint Louis,Oklahoma Sooners,REG,Anaheim Convention Center,,,,,,,,,,,,
5388,2011-12-31 00:00:00,Texas-Rio Grande Valley,Tulane Green Wave,UTPA Fieldhouse,42,53,Tulane Green Wave,Texas-Rio Grande Valley,REG,UTPA Fieldhouse,,,,,,,,,,,,
5188,2012-01-17 00:00:00,Winthrop Eagles,Campbell,Winthrop Coliseum,51,54,Campbell,Winthrop Eagles,REG,Winthrop Coliseum,,,,,,,,,,,,
8323,2012-01-28 00:00:00,Texas State,Texas-Arlington Mavericks,Strahan Coliseum,79,82,Texas-Arlington Mavericks,Texas State,REG,Strahan Coliseum,,,,,,,,,,,,
6934,2012-01-19 00:00:00,Virginia Commonwealth,William & Mary Tribe,Alltel Pavilion at the Stuart C. Siegel Center,69,68,Virginia Commonwealth,William & Mary Tribe,REG,Alltel Pavilion at the Stuart C. Siegel Center,,,,,,,,,,,,
7172,2012-01-18 00:00:00,Towson,Old Dominion Monarchs,Towson Center,41,71,Old Dominion Monarchs,Towson,REG,Towson Center,,,,,,,,,,,,
5072,2011-12-10 00:00:00,North Texas,Sam Houston State Bearkats,Super Pit,53,50,North Texas,Sam Houston State Bearkats,REG,Super Pit,,,,,,,,,,,,
8894,2012-03-03 00:00:00,Delaware,Old Dominion Monarchs,Richmond Coliseum,74,88,Old Dominion Monarchs,Delaware,CTOURN,Richmond Coliseum,,,,,,,,,,,,
9006,2012-01-03 00:00:00,Oakland,Oral Roberts Golden Eagles,Athletics Center O'rena,80,89,Oral Roberts Golden Eagles,Oakland,REG,Athletics Center O'rena,,,,,,,,,,,,
9802,2012-01-26 00:00:00,Oral Roberts Golden Eagles,South Dakota,Mabee Center,97,64,Oral Roberts Golden Eagles,South Dakota,REG,Mabee Center,,,,,,,,,,,,
8687,2011-11-12 00:00:00,Oregon State Beavers,Cal State Bakersfield,Gill Coliseum,86,62,Oregon State Beavers,Cal State Bakersfield,REG,Gill Coliseum,,,,,,,,,,,,
9387,2011-11-14 00:00:00,Oregon State Beavers,West Alabama,Gill Coliseum,93,60,Oregon State Beavers,West Alabama,REG,Gill Coliseum,,,,,,,,,,,,
10114,2011-11-19 00:00:00,Oregon State Beavers,Texas,,100,95,Oregon State Beavers,Texas,REG,,,,,,,,,,,,,
7163,2011-12-04 00:00:00,Oregon State Beavers,Montana,Gill Coliseum,71,46,Oregon State Beavers,Montana,REG,Gill Coliseum,,,,,,,,,,,,
9579,2011-12-13 00:00:00,Oregon State Beavers,Illinois-Chicago,Gill Coliseum,95,53,Oregon State Beavers,Illinois-Chicago,REG,Gill Coliseum,,,,,,,,,,,,
9400,2011-12-15 00:00:00,Oregon State Beavers,Howard,Gill Coliseum,93,72,Oregon State Beavers,Howard,REG,Gill Coliseum,,,,,,,,,,,,
10199,2011-12-18 00:00:00,Oregon State Beavers,Portland State,Gill Coliseum,101,68,Oregon State Beavers,Portland State,REG,Gill Coliseum,,,,,,,,,,,,
9329,2011-12-21 00:00:00,Chicago State,Oregon State Beavers,Emil and Patricia Jones Convocation Center,66,92,Oregon State Beavers,Chicago State,REG,Emil and Patricia Jones Convocation Center,,,,,,,,,,,,
8145,2011-12-29 00:00:00,Washington,Oregon State Beavers,Bank of America Arena,95,80,Washington,Oregon State Beavers,REG,Bank of America Arena,,,,,,,,,,,,
101123,2012-01-07 00:00:00,Oregon State Beavers,Stanford,Gill Coliseum,101,103,Stanford,Oregon State Beavers,REG,Gill Coliseum,,,,,,,,,,,,
8692,2012-03-08 00:00:00,Oregon State Beavers,Washington,,86,84,Oregon State Beavers,Washington,CTOURN,,,,,,,,,,,,,
10213,2012-03-19 00:00:00,Oregon State Beavers,Texas Christian,Gill Coliseum,101,81,Oregon State Beavers,Texas Christian,CBI,Gill Coliseum,,,,,,,,,,,,
7225,2012-01-29 00:00:00,Oregon Ducks,Oregon State,Matthew Knight Arena,71,76,Oregon State,Oregon Ducks,REG,Matthew Knight Arena,,,,,,,,,,,,
8286,2012-02-09 00:00:00,Oregon Ducks,Washington,Matthew Knight Arena,82,57,Oregon Ducks,Washington,REG,Matthew Knight Arena,,,,,,,,,,,,
9102,2012-03-01 00:00:00,Oregon Ducks,Colorado,Matthew Knight Arena,90,81,Oregon Ducks,Colorado,REG,Matthew Knight Arena,,,,,,,,,,,,
9471,2012-03-03 00:00:00,Oregon Ducks,Utah,Matthew Knight Arena,94,48,Oregon Ducks,Utah,REG,Matthew Knight Arena,,,,,,,,,,,,
6271,2012-03-08 00:00:00,Colorado,Oregon Ducks,,63,62,Colorado,Oregon Ducks,CTOURN,,,,,,,,,,,,,
9709,2012-03-13 00:00:00,Oregon Ducks,Louisiana State,Matthew Knight Arena,96,76,Oregon Ducks,Louisiana State,NIT,Matthew Knight Arena,,,,,,,,,,,,
10935,2012-03-18 00:00:00,Oregon Ducks,Iowa,Matthew Knight Arena,108,97,Oregon Ducks,Iowa,NIT,Matthew Knight Arena,,,,,,,,,,,,
8731,2012-03-20 00:00:00,Washington,Oregon Ducks,Bank of America Arena,90,86,Washington,Oregon Ducks,NIT,Bank of America Arena,,,,,,,,,,,,
5419,2011-12-22 00:00:00,Cal State Bakersfield,Pacific Tigers,Rabobank Arena,83,53,Cal State Bakersfield,Pacific Tigers,REG,Rabobank Arena,,,,,,,,,,,,
8315,2012-01-08 00:00:00,Penn State Nittany Lions,Indiana (12),Bryce Jordan Center,82,88,Indiana (12),Penn State Nittany Lions,REG,Bryce Jordan Center,,,,,,,,,,,,
5965,2011-11-11 00:00:00,Maryland-Baltimore County,Penn Quakers,RAC Arena,45,59,Penn Quakers,Maryland-Baltimore County,REG,RAC Arena,,,,,,,,,,,,
8513,2012-01-13 00:00:00,Seattle,Utah Valley Wolverines,KeyArena at Seattle Center,74,84,Utah Valley Wolverines,Seattle,REG,KeyArena at Seattle Center,,,,,,,,,,,,
4008,2011-11-28 00:00:00,UCLA,Pepperdine Waves,L. A. Sports Arena,62,39,UCLA,Pepperdine Waves,REG,L. A. Sports Arena,,,,,,,,,,,,
4961,2011-12-07 00:00:00,Northern Arizona,Pepperdine Waves,Walkup Skydome,40,49,Pepperdine Waves,Northern Arizona,REG,Walkup Skydome,,,,,,,,,,,,
7103,2011-12-22 00:00:00,Missouri State,West Virginia Mountaineers,Orleans Arena,68,70,West Virginia Mountaineers,Missouri State,REG,Orleans Arena,,,,,,,,,,,,
4603,2012-01-05 00:00:00,Gonzaga (25),Pepperdine Waves,McCarthey Athletic Center,73,45,Gonzaga (25),Pepperdine Waves,REG,McCarthey Athletic Center,,,,,,,,,,,,
4373,2012-01-07 00:00:00,Portland,Pepperdine Waves,Chiles Center,53,43,Portland,Pepperdine Waves,REG,Chiles Center,,,,,,,,,,,,
9798,2011-12-06 00:00:00,Pitt Panthers,Virginia Military Institute,Petersen Events Center,97,70,Pitt Panthers,Virginia Military Institute,REG,Petersen Events Center,,,,,,,,,,,,
3995,2012-01-11 00:00:00,Pitt Panthers,Rutgers,Petersen Events Center,39,62,Rutgers,Pitt Panthers,REG,Petersen Events Center,,,,,,,,,,,,
4904,2012-02-16 00:00:00,Pitt Panthers,West Virginia,Petersen Events Center,48,66,West Virginia,Pitt Panthers,REG,Petersen Events Center,,,,,,,,,,,,
4797,2012-01-28 00:00:00,Winthrop Eagles,High Point,Winthrop Coliseum,47,52,High Point,Winthrop Eagles,REG,Winthrop Coliseum,,,,,,,,,,,,
5271,2012-03-07 00:00:00,Georgetown (13),Pitt Panthers,,64,52,Georgetown (13),Pitt Panthers,CTOURN,,,,,,,,,,,,,
8199,2012-01-19 00:00:00,Washington State Cougars,Stanford,Friel Court,81,69,Washington State Cougars,Stanford,REG,Friel Court,,,,,,,,,,,,
